河北联通[A],#genre#
内蒙古卫视,http://fn.122020.xyz:4000/udp/239.253.92.45:8047
辽宁卫视,http://fn.122020.xyz:4000/udp/239.253.92.115:6056
吉林卫视,http://fn.122020.xyz:4000/udp/239.253.92.202:6147
黑龙江卫视,http://fn.122020.xyz:4000/udp/239.253.92.85:8016
东方卫视,http://fn.122020.xyz:4000/udp/239.253.92.89:8019
江苏卫视,http://fn.122020.xyz:4000/udp/239.253.92.88:8018
浙江卫视,http://fn.122020.xyz:4000/udp/239.253.92.90:8020
安徽卫视,http://fn.122020.xyz:4000/udp/239.253.92.209:6566
安徽卫视,http://fn.122020.xyz:4000/udp/239.253.93.90:6256
东南卫视,http://fn.122020.xyz:4000/udp/239.253.92.201:6146
江西卫视,http://fn.122020.xyz:4000/udp/239.253.92.19:6145
山东卫视,http://fn.122020.xyz:4000/udp/239.253.92.207:8109
河南卫视,http://fn.122020.xyz:4000/udp/239.253.92.137:6144
湖北卫视,http://fn.122020.xyz:4000/udp/239.253.92.210:6567
湖北卫视,http://fn.122020.xyz:4000/udp/239.253.93.91:6257
湖南卫视,http://fn.122020.xyz:4000/udp/239.253.92.84:8015
广东卫视,http://fn.122020.xyz:4000/udp/239.253.92.206:8108
广西卫视,http://fn.122020.xyz:4000/udp/239.253.92.76:8043
海南卫视,http://fn.122020.xyz:4000/udp/239.253.93.155:6323
重庆卫视,http://fn.122020.xyz:4000/udp/239.253.92.10:6053
四川卫视,http://fn.122020.xyz:4000/udp/239.253.92.16:6043
贵州卫视,http://fn.122020.xyz:4000/udp/239.253.92.105:6055
云南卫视,http://fn.122020.xyz:4000/udp/239.253.92.28:8030
西藏卫视,http://fn.122020.xyz:4000/udp/239.253.94.57:6639
陕西卫视,http://fn.122020.xyz:4000/udp/239.253.92.135:6007
陕西卫视,http://fn.122020.xyz:4000/udp/239.253.92.36:8045
甘肃卫视,http://fn.122020.xyz:4000/udp/239.253.94.33:6633
青海卫视,http://fn.122020.xyz:4000/udp/239.253.92.133:6031
青海卫视,http://fn.122020.xyz:4000/udp/239.253.92.47:8048
宁夏卫视,http://fn.122020.xyz:4000/udp/239.253.94.60:6642
宁夏卫视,http://fn.122020.xyz:4000/udp/239.253.92.32:8050
新疆卫视,http://fn.122020.xyz:4000/udp/239.253.94.58:6640
兵团卫视,http://fn.122020.xyz:4000/udp/239.253.94.59:6641
深圳卫视,http://fn.122020.xyz:4000/udp/239.253.92.86:8017
三沙卫视,http://fn.122020.xyz:4000/udp/239.253.94.32:6632
延边卫视,http://fn.122020.xyz:4000/udp/239.253.92.120:6649
CCTV4K,http://fn.122020.xyz:4000/udp/239.253.93.134:6631
CCTV4K,http://fn.122020.xyz:4000/udp/239.253.94.43:6468
北京卫视4K,http://fn.122020.xyz:4000/udp/239.253.94.41:6466
北京卫视4K,http://fn.122020.xyz:4000/udp/239.253.94.42:6467
东方卫视4K,http://fn.122020.xyz:4000/udp/239.253.93.43:6646
江苏卫视4K,http://fn.122020.xyz:4000/udp/239.253.93.39:6644
浙江卫视4K,http://fn.122020.xyz:4000/udp/239.253.93.41:6645
山东卫视4K,http://fn.122020.xyz:4000/udp/239.253.93.49:6648
湖南卫视4K,http://fn.122020.xyz:4000/udp/239.253.93.37:6643
广东卫视4K,http://fn.122020.xyz:4000/udp/239.253.94.56:6585
四川卫视4K,http://fn.122020.xyz:4000/udp/239.253.93.45:6647
深圳卫视4K,http://fn.122020.xyz:4000/udp/239.253.94.55:6584
欢笑剧场4K,http://fn.122020.xyz:4000/udp/239.253.94.44:6573
欢笑剧场4K,http://fn.122020.xyz:4000/udp/239.253.94.45:6574
九屏直播,http://fn.122020.xyz:4000/udp/239.253.92.203:6150
临时直播1,http://fn.122020.xyz:4000/udp/239.253.92.116:6029
临时直播2,http://fn.122020.xyz:4000/udp/239.253.92.21:6226
临时直播3,http://fn.122020.xyz:4000/udp/239.253.92.216:6227
临时直播4,http://fn.122020.xyz:4000/udp/239.253.92.219:6228
临时直播5,http://fn.122020.xyz:4000/udp/239.253.92.220:6229
测试专用,http://fn.122020.xyz:4000/udp/239.253.93.230:6570
河北卫视,http://fn.122020.xyz:4000/udp/239.253.92.154:6011
河北经济生活,http://fn.122020.xyz:4000/udp/239.253.92.171:6001
河北都市,http://fn.122020.xyz:4000/udp/239.253.92.172:6002
河北影视剧,http://fn.122020.xyz:4000/udp/239.253.92.173:6003
河北少儿科教,http://fn.122020.xyz:4000/udp/239.253.92.174:6004
河北文旅公共,http://fn.122020.xyz:4000/udp/239.253.92.175:6005
河北三佳购物,http://fn.122020.xyz:4000/udp/239.253.92.24:8130
河北农民,http://fn.122020.xyz:4000/udp/239.253.92.176:6006
河北文旅慢直播,http://fn.122020.xyz:4000/udp/239.253.94.1:6600
河北杂技,http://fn.122020.xyz:4000/udp/239.253.93.170:6338
