新疆电信[A],#genre#
XJTV5HD,http://222.81.240.54:5555/udp/238.125.3.178:5140
XJTV5HD,http://222.81.240.54:5555/udp/238.125.7.149:5140
XJTV7HD,http://222.81.240.54:5555/udp/238.125.3.180:5140
XJTV7HD,http://222.81.240.54:5555/udp/238.125.7.151:5140
XJTV8HD,http://222.81.240.54:5555/udp/238.125.3.181:5140
XJTV8HD,http://222.81.240.54:5555/udp/238.125.7.152:5140
阿合奇1,http://222.81.240.54:5555/udp/238.125.3.189:5140
阿合奇2,http://222.81.240.54:5555/udp/238.125.3.190:5140
阿克苏市1,http://222.81.240.54:5555/udp/238.125.3.222:5140
阿克苏市1,http://222.81.240.54:5555/udp/238.125.7.104:5140
阿克苏市2,http://222.81.240.54:5555/udp/238.125.3.221:5140
阿克苏市2,http://222.81.240.54:5555/udp/238.125.7.102:5140
阿克苏新和1HD,http://222.81.240.54:5555/udp/238.125.2.254:5140
阿克苏新和1HD,http://222.81.240.54:5555/udp/238.125.7.190:5140
阿克苏新和2,http://222.81.240.54:5555/udp/238.125.3.253:5140
阿克苏新和2,http://222.81.240.54:5555/udp/238.125.7.189:5140
阿克陶1,http://222.81.240.54:5555/udp/238.125.3.45:5140
阿克陶1,http://222.81.240.54:5555/udp/238.125.7.45:5140
阿拉尔1,http://222.81.240.54:5555/udp/238.125.3.88:5140
阿拉尔1,http://222.81.240.54:5555/udp/238.125.7.88:5140
阿拉山口,http://222.81.240.54:5555/udp/238.125.3.16:5140
阿拉山口,http://222.81.240.54:5555/udp/238.125.7.16:5140
阿勒泰1720,http://222.81.240.54:5555/udp/238.125.3.54:5140
阿勒泰1720,http://222.81.240.54:5555/udp/238.125.7.54:5140
阿勒泰2,http://222.81.240.54:5555/udp/238.125.2.222:5140
阿勒泰2,http://222.81.240.54:5555/udp/238.125.7.134:5140
阿图什1,http://222.81.240.54:5555/udp/238.125.4.243:5140
阿图什2,http://222.81.240.54:5555/udp/238.125.4.244:5140
阿瓦提综合,http://222.81.240.54:5555/udp/238.125.3.173:5140
阿瓦提综合,http://222.81.240.54:5555/udp/238.125.6.173:5140
安徽高清,http://222.81.240.54:5555/udp/238.125.1.9:5140
安徽高清,http://222.81.240.54:5555/udp/238.125.5.9:5140
安徽人物频道（？）,http://222.81.240.54:5555/udp/238.125.2.197:5140
安徽人物频道HD（？）,http://222.81.240.54:5555/udp/238.125.5.109:5140
安徽卫视,http://222.81.240.54:5555/udp/238.125.4.16:5140
巴楚1,http://222.81.240.54:5555/udp/238.125.3.49:5140
巴楚1,http://222.81.240.54:5555/udp/238.125.7.49:5140
巴楚2,http://222.81.240.54:5555/udp/238.125.3.50:5140
巴州01HD,http://222.81.240.54:5555/udp/238.125.3.38:5140
