山西联通[A],#genre#
西藏卫视,http://http://home.yulei.online:9999/rtp/226.0.2.66:8440
兵团卫视,http://http://home.yulei.online:9999/rtp/226.0.2.62:8408
金鹰卡通,http://http://home.yulei.online:9999/rtp/226.0.2.172:9288
哈哈炫动,http://http://home.yulei.online:9999/rtp/226.0.2.44:8264
卡酷少儿,http://http://home.yulei.online:9999/rtp/226.0.2.57:8368
山东教育,http://http://home.yulei.online:9999/rtp/226.0.2.130:8952
北京纪实科教,http://http://home.yulei.online:9999/rtp/226.0.2.141:9040
东方财经,http://http://home.yulei.online:9999/rtp/226.0.2.76:8520
都市剧场,http://http://home.yulei.online:9999/rtp/226.0.2.81:8560
九屏测试HD,http://http://home.yulei.online:9999/rtp/226.0.2.197:9488
四海钓鱼,http://http://home.yulei.online:9999/rtp/226.0.2.123:8896
大同教育HD,http://http://home.yulei.online:9999/rtp/226.0.2.232:9772
金色学堂,http://http://home.yulei.online:9999/rtp/226.0.2.182:9368
CCTV1,http://http://home.yulei.online:9999/rtp/226.0.2.18:8056
CCTV2,http://http://home.yulei.online:9999/rtp/226.0.2.19:8064
CCTV3,http://http://home.yulei.online:9999/rtp/226.0.2.20:8072
CCTV4,http://http://home.yulei.online:9999/rtp/226.0.2.21:8080
CCTV5,http://http://home.yulei.online:9999/rtp/226.0.2.22:8088
CCTV6,http://http://home.yulei.online:9999/rtp/226.0.2.23:8096
CCTV7,http://http://home.yulei.online:9999/rtp/226.0.2.24:8104
CCTV8,http://http://home.yulei.online:9999/rtp/226.0.2.25:8112
CCTV9,http://http://home.yulei.online:9999/rtp/226.0.2.26:8120
CCTV10,http://http://home.yulei.online:9999/rtp/226.0.2.27:8128
CCTV11,http://http://home.yulei.online:9999/rtp/226.0.2.28:8136
CCTV12,http://http://home.yulei.online:9999/rtp/226.0.2.29:8144
CCTV13,http://http://home.yulei.online:9999/rtp/226.0.2.30:8152
CCTV14,http://http://home.yulei.online:9999/rtp/226.0.2.31:8160
CCTV15,http://http://home.yulei.online:9999/rtp/226.0.2.32:8168
CCTV17,http://http://home.yulei.online:9999/rtp/226.0.2.207:9568
CETV2,http://http://home.yulei.online:9999/rtp/226.0.2.69:8464
CETV4,http://http://home.yulei.online:9999/rtp/226.0.2.70:8472
山西影视,http://http://home.yulei.online:9999/rtp/226.0.2.14:8024
山西文体生活,http://http://home.yulei.online:9999/rtp/226.0.2.190:9432
山西社会与法治,http://http://home.yulei.online:9999/rtp/226.0.2.15:8032
山西黄河,http://http://home.yulei.online:9999/rtp/226.0.2.12:8008
太原1,http://http://home.yulei.online:9999/rtp/226.0.2.201:9520
太原2,http://http://home.yulei.online:9999/rtp/226.0.2.202:9528
太原3,http://http://home.yulei.online:9999/rtp/226.0.2.203:9536
太原4,http://http://home.yulei.online:9999/rtp/226.0.2.204:9544
太原5,http://http://home.yulei.online:9999/rtp/226.0.2.205:9552
太原佰乐购,http://http://home.yulei.online:9999/rtp/226.0.2.215:9632
太原教育,http://http://home.yulei.online:9999/rtp/226.0.2.206:9560
古交电视台,http://http://home.yulei.online:9999/rtp/226.0.2.192:9448
晋能控股,http://http://home.yulei.online:9999/rtp/226.0.2.229:9744
朔州1,http://http://home.yulei.online:9999/rtp/226.0.2.185:9392
朔州2,http://http://home.yulei.online:9999/rtp/226.0.2.186:9400
经济与科技,http://http://home.yulei.online:9999/rtp/226.0.2.13:8016
阳曲,http://http://home.yulei.online:9999/rtp/226.0.2.196:9480
阳泉科教,http://http://home.yulei.online:9999/rtp/226.0.2.234:9784
阳泉综合,http://http://home.yulei.online:9999/rtp/226.0.2.233:9776
中视,http://http://home.yulei.online:9999/rtp/226.0.2.72:8488
书法频道,http://http://home.yulei.online:9999/rtp/226.0.2.102:8728
环球奇观,http://http://home.yulei.online:9999/rtp/226.0.2.111:8800
国学,http://http://home.yulei.online:9999/rtp/226.0.2.116:8840
环球旅游,http://http://home.yulei.online:9999/rtp/226.0.2.127:8928
生态环境,http://http://home.yulei.online:9999/rtp/226.0.2.120:8872
新动漫,http://http://home.yulei.online:9999/rtp/226.0.2.73:8496
优优宝贝,http://http://home.yulei.online:9999/rtp/226.0.2.119:8864
先锋乒羽,http://http://home.yulei.online:9999/rtp/226.0.2.121:8880
重庆卫视,http://http://home.yulei.online:9999/rtp/226.0.2.50:8312
江苏卫视,http://http://home.yulei.online:9999/rtp/226.0.2.38:8216
浙江卫视,http://http://home.yulei.online:9999/rtp/226.0.2.36:8200
东方卫视,http://http://home.yulei.online:9999/rtp/226.0.2.34:8184
深圳卫视,http://http://home.yulei.online:9999/rtp/226.0.2.47:8288
北京卫视,http://http://home.yulei.online:9999/rtp/226.0.2.39:8224
山东卫视,http://http://home.yulei.online:9999/rtp/226.0.2.51:8320
天津卫视,http://http://home.yulei.online:9999/rtp/226.0.2.56:8360
贵州卫视,http://http://home.yulei.online:9999/rtp/226.0.2.43:8256
四川卫视,http://http://home.yulei.online:9999/rtp/226.0.2.42:8248
云南卫视,http://http://home.yulei.online:9999/rtp/226.0.2.60:8392
广西卫视,http://http://home.yulei.online:9999/rtp/226.0.2.46:8280
黑龙江卫视,http://http://home.yulei.online:9999/rtp/226.0.2.48:8296
安徽卫视,http://http://home.yulei.online:9999/rtp/226.0.2.37:8208
山西卫视,http://http://home.yulei.online:9999/rtp/226.0.2.11:8000
山西卫视,http://http://home.yulei.online:9999/rtp/226.0.2.189:9424
江西卫视,http://http://home.yulei.online:9999/rtp/226.0.2.198:9496
湖北卫视,http://http://home.yulei.online:9999/rtp/226.0.2.49:8304
旅游卫视,http://http://home.yulei.online:9999/rtp/226.0.2.61:8400
陕西卫视,http://http://home.yulei.online:9999/rtp/226.0.2.53:8336
东南卫视,http://http://home.yulei.online:9999/rtp/226.0.2.40:8232
吉林卫视,http://http://home.yulei.online:9999/rtp/226.0.2.199:9504
