四川电信[A],#genre#
快乐垂钓,http://61.157.196.13:8888/udp/239.94.1.153:5140
茶频道,http://61.157.196.13:8888/udp/239.94.1.154:5140
乐龄学堂专区,http://61.157.196.13:8888/udp/239.94.1.155:5140
亲子趣学4K专区,http://61.157.196.13:8888/udp/239.94.1.156:5140
4K乐享超清专区,http://61.157.196.13:8888/udp/239.94.1.162:5140
书画频道,http://61.157.196.13:8888/udp/239.94.1.163:5140
乐游,http://61.157.196.13:8888/udp/239.94.1.164:5140
金色学堂,http://61.157.196.13:8888/udp/239.94.1.165:5140
法治天地,http://61.157.196.13:8888/udp/239.94.1.166:5140
中国天气,http://61.157.196.13:8888/udp/239.94.1.167:5140
四海钓鱼,http://61.157.196.13:8888/udp/239.94.1.168:5140
动漫秀场,http://61.157.196.13:8888/udp/239.94.1.171:5140
精彩影视,http://61.157.196.13:8888/udp/239.94.1.172:5140
CHC家庭影院,http://61.157.196.13:8888/udp/239.94.1.173:5140
CHC影迷电影,http://61.157.196.13:8888/udp/239.94.1.174:5140
CHC动作电影,http://61.157.196.13:8888/udp/239.94.1.175:5140
欢笑剧场,http://61.157.196.13:8888/udp/239.94.1.176:5140
北京卫视,http://61.157.196.13:8888/udp/239.94.0.111:5140
I成都,http://61.157.196.13:8888/udp/239.94.2.1:5140
爱乐山,http://61.157.196.13:8888/udp/239.94.2.2:5140
中国体育1,http://61.157.196.13:8888/udp/239.94.2.7:5140
中国体育2,http://61.157.196.13:8888/udp/239.94.2.8:5140
中国体育3,http://61.157.196.13:8888/udp/239.94.2.9:5140
精彩推荐专区,http://61.157.196.13:8888/udp/239.94.2.10:5140
直播室1,http://61.157.196.13:8888/udp/239.94.2.11:5140
直播室2,http://61.157.196.13:8888/udp/239.94.2.12:5140
直播室3,http://61.157.196.13:8888/udp/239.94.2.13:5140
直播室4,http://61.157.196.13:8888/udp/239.94.2.14:5140
直播室5,http://61.157.196.13:8888/udp/239.94.2.15:5140
直播室6,http://61.157.196.13:8888/udp/239.94.2.16:5140
直播室7,http://61.157.196.13:8888/udp/239.94.2.17:5140
直播室8,http://61.157.196.13:8888/udp/239.94.2.18:5140
红原日干乔,http://61.157.196.13:8888/udp/239.94.2.19:5140
红原月亮湾,http://61.157.196.13:8888/udp/239.94.2.20:5140
电信导视3,http://61.157.196.13:8888/udp/239.94.2.21:5140
雅克音乐节直播,http://61.157.196.13:8888/udp/239.94.2.23:5140
雅克音乐节宣传,http://61.157.196.13:8888/udp/239.94.2.24:5140
云演艺宣传,http://61.157.196.13:8888/udp/239.94.2.25:5140
华西证券,http://61.157.196.13:8888/udp/239.94.2.42:5140
920全网组播,http://61.157.196.13:8888/udp/239.94.2.128:5140
921全网组播,http://61.157.196.13:8888/udp/239.94.2.129:5140
922全网组播,http://61.157.196.13:8888/udp/239.94.2.131:5140
923全网组播,http://61.157.196.13:8888/udp/239.94.2.132:5140
924全网组播,http://61.157.196.13:8888/udp/239.94.2.135:5140
925全网组播,http://61.157.196.13:8888/udp/239.94.2.137:5140
926全网组播,http://61.157.196.13:8888/udp/239.94.2.139:5140
927全网组播,http://61.157.196.13:8888/udp/239.94.2.140:5140
CCTV1,http://61.157.196.13:8888/udp/239.94.2.146:5140
CCTV2,http://61.157.196.13:8888/udp/239.94.2.147:5140
CCTV3,http://61.157.196.13:8888/udp/239.94.2.148:5140
CCTV4,http://61.157.196.13:8888/udp/239.94.2.149:5140
CCTV5,http://61.157.196.13:8888/udp/239.94.2.150:5140
CCTV6,http://61.157.196.13:8888/udp/239.94.2.151:5140
CCTV7,http://61.157.196.13:8888/udp/239.94.2.152:5140
CCTV8,http://61.157.196.13:8888/udp/239.94.2.153:5140
CCTV9,http://61.157.196.13:8888/udp/239.94.2.154:5140
CCTV10,http://61.157.196.13:8888/udp/239.94.2.155:5140
CCTV11,http://61.157.196.13:8888/udp/239.94.2.156:5140
CCTV12,http://61.157.196.13:8888/udp/239.94.2.157:5140
CCTV新闻画中画全网组播,http://61.157.196.13:8888/udp/239.94.2.158:5140
CCTV少儿画中画全网组播,http://61.157.196.13:8888/udp/239.94.2.159:5140
CCTV音乐画中画全网组播,http://61.157.196.13:8888/udp/239.94.2.160:5140
CCTV17,http://61.157.196.13:8888/udp/239.94.2.161:5140
四川卫视,http://61.157.196.13:8888/udp/239.94.2.165:5140
CDTV1,http://61.157.196.13:8888/udp/239.94.2.166:5140
CCTV4K,http://61.157.196.13:8888/udp/239.94.2.163:5140
CGTN,http://61.157.196.13:8888/udp/239.94.2.164:5140
CCTV5+,http://61.157.196.13:8888/udp/239.94.2.162:5140
湖南卫视,http://61.157.196.13:8888/udp/239.94.2.167:5140
江苏卫视,http://61.157.196.13:8888/udp/239.94.2.168:5140
浙江卫视,http://61.157.196.13:8888/udp/239.94.2.169:5140
东方卫视,http://61.157.196.13:8888/udp/239.94.2.170:5140
深圳卫视,http://61.157.196.13:8888/udp/239.94.2.172:5140
广东卫视,http://61.157.196.13:8888/udp/239.94.2.173:5140
天津卫视,http://61.157.196.13:8888/udp/239.94.2.174:5140
山东卫视,http://61.157.196.13:8888/udp/239.94.2.175:5140
SCTV2,http://61.157.196.13:8888/udp/239.94.2.176:5140
SCTV3,http://61.157.196.13:8888/udp/239.94.2.177:5140
SCTV4,http://61.157.196.13:8888/udp/239.94.2.178:5140
SCTV5,http://61.157.196.13:8888/udp/239.94.2.179:5140
TV6,http://61.157.196.13:8888/udp/239.94.2.180:5140
SCTV7,http://61.157.196.13:8888/udp/239.94.2.181:5140
SCTV科教画中画全网组播,http://61.157.196.13:8888/udp/239.94.2.182:5140
四川乡村,http://61.157.196.13:8888/udp/239.94.2.183:5140
康巴卫视,http://61.157.196.13:8888/udp/239.94.2.184:5140
江西卫视,http://61.157.196.13:8888/udp/239.94.2.185:5140
东南卫视,http://61.157.196.13:8888/udp/239.94.2.186:5140
黑龙江卫视,http://61.157.196.13:8888/udp/239.94.2.187:5140
贵州卫视,http://61.157.196.13:8888/udp/239.94.2.189:5140
湖北卫视,http://61.157.196.13:8888/udp/239.94.2.190:5140
安徽卫视,http://61.157.196.13:8888/udp/239.94.2.191:5140
河北卫视,http://61.157.196.13:8888/udp/239.94.2.192:5140
中国交通,http://61.157.196.13:8888/udp/239.94.2.193:5140
河南卫视,http://61.157.196.13:8888/udp/239.94.2.194:5140
广西卫视,http://61.157.196.13:8888/udp/239.94.2.195:5140
云南卫视,http://61.157.196.13:8888/udp/239.94.2.196:5140
吉林卫视,http://61.157.196.13:8888/udp/239.94.2.197:5140
陕西卫视,http://61.157.196.13:8888/udp/239.94.2.198:5140
山西卫视,http://61.157.196.13:8888/udp/239.94.2.199:5140
内蒙古卫视,http://61.157.196.13:8888/udp/239.94.2.200:5140
青海卫视,http://61.157.196.13:8888/udp/239.94.2.201:5140
宁夏卫视,http://61.157.196.13:8888/udp/239.94.2.202:5140
西藏卫视,http://61.157.196.13:8888/udp/239.94.2.203:5140
新疆卫视,http://61.157.196.13:8888/udp/239.94.2.204:5140
甘肃卫视,http://61.157.196.13:8888/udp/239.94.2.205:5140
海南卫视,http://61.157.196.13:8888/udp/239.94.2.206:5140
辽宁卫视,http://61.157.196.13:8888/udp/239.94.2.207:5140
兵团卫视,http://61.157.196.13:8888/udp/239.94.2.208:5140
峨眉电影,http://61.157.196.13:8888/udp/239.94.2.209:5140
厦门卫视,http://61.157.196.13:8888/udp/239.94.2.210:5140
三沙卫视,http://61.157.196.13:8888/udp/239.94.2.211:5140
山东教育卫视,http://61.157.196.13:8888/udp/239.94.2.212:5140
延边卫视,http://61.157.196.13:8888/udp/239.94.2.213:5140
北京纪实科教,http://61.157.196.13:8888/udp/239.94.2.215:5140
安多卫视,http://61.157.196.13:8888/udp/239.94.2.216:5140
重庆卫视,http://61.157.196.13:8888/udp/239.94.2.188:5140
CDTV2,http://61.157.196.13:8888/udp/239.94.2.217:5140
CDTV3,http://61.157.196.13:8888/udp/239.94.2.218:5140
CDTV4,http://61.157.196.13:8888/udp/239.94.2.219:5140
CDTV5,http://61.157.196.13:8888/udp/239.94.2.220:5140
CDTV6,http://61.157.196.13:8888/udp/239.94.2.221:5140
