湖北电信[A],#genre#
厦门卫视,http://speedtest.xk8.top:8001/udp/239.69.1.127:10400
湖南卫视,http://speedtest.xk8.top:8001/udp/239.69.2.34:11358
浙江卫视,http://speedtest.xk8.top:8001/udp/239.69.2.35:11364
江苏卫视,http://speedtest.xk8.top:8001/udp/239.69.2.36:11370
北京卫视,http://speedtest.xk8.top:8001/udp/239.69.2.22:11286
广东卫视,http://speedtest.xk8.top:8001/udp/239.69.2.27:11316
深圳卫视,http://speedtest.xk8.top:8001/udp/239.69.2.28:11322
东方卫视,http://speedtest.xk8.top:8001/udp/239.69.2.37:11376
山东卫视,http://speedtest.xk8.top:8001/udp/239.69.2.38:11382
四川卫视,http://speedtest.xk8.top:8001/udp/239.69.2.39:11388
卡酷少儿,http://speedtest.xk8.top:8001/udp/239.69.1.193:10800
金鹰卡通,http://speedtest.xk8.top:8001/udp/239.69.1.248:11130
金鹰纪实,http://speedtest.xk8.top:8001/udp/239.69.1.109:10292
中国教育1HD,http://speedtest.xk8.top:8001/udp/239.69.1.110:10298
中国教育4HD,http://speedtest.xk8.top:8001/udp/239.69.2.29:11328
中国教育2台,http://speedtest.xk8.top:8001/udp/239.69.1.183:10734
山东教育,http://speedtest.xk8.top:8001/udp/239.69.1.228:11010
环球奇观,http://speedtest.xk8.top:8001/udp/239.254.97.192:9232
国学,http://speedtest.xk8.top:8001/udp/239.254.97.194:9244
CHC家庭影院,http://speedtest.xk8.top:8001/udp/239.69.1.243:11100
CHC动作电影,http://speedtest.xk8.top:8001/udp/239.69.1.242:11094
CHC影迷电影,http://speedtest.xk8.top:8001/udp/239.69.1.241:11088
第一剧场,http://speedtest.xk8.top:8001/udp/239.69.1.74:10084
都市剧场,http://speedtest.xk8.top:8001/udp/239.69.2.4:11178
怀旧剧场,http://speedtest.xk8.top:8001/udp/239.69.1.89:10174
欢笑剧场,http://speedtest.xk8.top:8001/udp/239.69.2.5:11184
动漫秀场,http://speedtest.xk8.top:8001/udp/239.69.2.6:11190
新动漫,http://speedtest.xk8.top:8001/udp/239.69.1.187:10764
电视指南,http://speedtest.xk8.top:8001/udp/239.69.1.87:10162
央视台球,http://speedtest.xk8.top:8001/udp/239.69.1.98:10224
风云足球,http://speedtest.xk8.top:8001/udp/239.69.1.81:10126
高尔夫网球,http://speedtest.xk8.top:8001/udp/239.69.1.83:10138
四海钓鱼,http://speedtest.xk8.top:8001/udp/239.69.1.244:11106
快乐垂钓,http://speedtest.xk8.top:8001/udp/239.69.1.142:10488
游戏风云,http://speedtest.xk8.top:8001/udp/239.69.2.8:11202
武术世界,http://speedtest.xk8.top:8001/udp/239.69.1.47:9922
汽摩,http://speedtest.xk8.top:8001/udp/239.69.1.84:10144
东方财经,http://speedtest.xk8.top:8001/udp/239.69.2.9:11208
法治天地,http://speedtest.xk8.top:8001/udp/239.69.2.10:11214
生活时尚,http://speedtest.xk8.top:8001/udp/239.69.2.11:11220
乐游,http://speedtest.xk8.top:8001/udp/239.69.2.12:11226
金色学堂,http://speedtest.xk8.top:8001/udp/239.69.2.13:11232
兵器科技,http://speedtest.xk8.top:8001/udp/239.69.1.79:10114
世界地理,http://speedtest.xk8.top:8001/udp/239.69.1.91:10186
梨园,http://speedtest.xk8.top:8001/udp/239.69.1.33:9838
